file,strategy
a,팃포탯
e,다우닝
d,테스터
g,팃포투탯
c,랜덤
b,올디
f,프리드먼
h,요스

matches (A),36
rounds (B),221
total games (A*B),7956

score table,팃포탯,다우닝,테스터,팃포투탯,랜덤,올디,프리드먼,요스,sum,ranking
팃포탯,663.0,220,662,663,508,220,663,233,3832.0,1
다우닝,225,221.0,229,229,705,221,225,225,2280.0,7
테스터,662,219,443.0,883,526,219,223,239,3414.0,4
팃포투탯,663,219,333,663.0,406,219,663,574,3740.0,2
랜덤,508,100,491,691,492.5,132,115,496,3025.5,5
올디,225,221,229,229,577,221.0,225,225,2152.0,8
프리드먼,663,220,228,663,670,220,663.0,234,3561.0,3
요스,238,220,244,719,531,220,234,237.5,2643.5,6
sum,3847.0,1640.0,2859.0,4740.0,4415.5,1672.0,3011.0,2463.5
ranking,3,8,5,1,2,7,4,6

ranking,strategy,obtained
1,팃포탯,3832.0
2,팃포투탯,3740.0
3,프리드먼,3561.0
4,테스터,3414.0
5,랜덤,3025.5
6,요스,2643.5
7,다우닝,2280.0
8,올디,2152.0

ranking,strategy,given
1,팃포투탯,4740.0
2,랜덤,4415.5
3,팃포탯,3847.0
4,프리드먼,3011.0
5,테스터,2859.0
6,요스,2463.5
7,올디,1672.0
8,다우닝,1640.0
